# ID RA DEC Hb_z Hb_flux Hb_flux_err Hb_cont Hb_sigmaV OIII_flux OIII_flux_err OIII_cont Ha_z Ha_flux Ha_flux_err Ha_cont Ha_sigmaV NII_flux NII_flux_err NII_cont SII_flux SII_flux_err SII_cont
8710 214.8815588 52.8306337 2.33773 73.872 9.107 0.803 136.494 290.807 8.545 0.796 2.33771 246.372 4.031 0.271 136.495 21.853 4.553 0.274 29.254 5.342 0.248
8736 214.8855555 52.8350433 1.55506 44.329 3.739 1.719 99.919 138.735 4.073 1.624 1.55463 155.542 4.656 1.114 99.935 18.245 3.09 1.109 28.684 3.94 1.114
8971 215.1552459 53.0488005 1.5741 159.108 5.843 2.678 113.728 539.542 6.329 2.673 1.57402 685.757 6.387 1.809 113.731 66.433 7.073 1.805 106.733 6.955 1.761
9025 214.891632 52.8656302 1.65152 24.136 -1.0 1.251 194.967 6.214 -1.0 1.191 1.64553 35.136 8.256 1.087 195.409 21.516 6.284 1.069 18.552 7.114 1.192
9052 215.0741135 52.9965476 1.87213 42.088 7.033 0.701 120.744 155.057 7.216 0.632 1.87245 3.15 -1.0 0.301 120.731 3.158 -1.0 0.299 2.173 -1.0 0.305
9156 214.9829516 52.9357996 2.05446 159.954 14.767 1.622 130.599 585.758 14.329 1.718 2.0542 623.002 10.721 1.171 130.61 61.889 9.298 1.113 140.427 11.808 1.033
9211 215.1741079 53.0734897 1.632 185.502 5.728 1.399 107.59 894.296 5.889 1.418 1.63215 629.871 9.407 0.82 107.584 29.745 5.921 0.772 90.915 8.897 0.611
9238 215.0777875 53.0065121 1.74226 70.073 7.087 0.769 113.18 238.476 8.005 0.764 1.74217 336.966 6.24 0.683 113.184 48.297 6.025 0.671 78.592 8.556 0.536
9413 215.0612039 53.0035121 1.39062 47.716 9.528 2.04 120.518 110.429 6.681 2.013 1.39021 180.238 8.835 1.062 120.539 29.712 12.807 1.057 11.068 3.36 1.047
11088 214.9342063 52.8263678 3.30299 147.839 8.07 0.347 136.654 880.955 8.126 0.331 3.30307 636.843 3.869 0.214 136.651 56.836 3.67 0.227 65.063 3.707 0.233
11580 214.9571398 52.8723687 3.22898 8.447 2.444 0.113 117.245 35.931 1.948 0.113 3.22855 25.748 2.192 0.08 117.257 2.203 -1.0 0.076 2.386 -1.0 0.059
11699 214.8977231 52.8361155 3.30223 49.186 22.604 0.0 108.803 238.354 26.988 0.146 3.30269 168.116 3.003 0.144 108.792 12.675 2.945 0.14 2.096 -1.0 0.13
11903 215.1619465 53.0337479 3.10962 8.365 1.421 0.043 107.995 29.085 1.9 -0.029 3.10875 42.189 3.368 0.112 108.018 6.244 2.585 0.108 3.852 -1.0 0.137
12286 214.9907912 52.9350279 2.95618 21.742 3.743 0.071 105.698 150.71 3.61 0.016 2.95615 92.901 3.974 0.0 105.698 3.856 -1.0 -0.036 21.604 5.059 -0.072
12308 214.9743451 52.9246084 3.44558 5.012 -1.0 0.2 128.813 1.291 -1.0 0.186 3.45747 357.421 4.379 0.067 128.47 14.166 3.935 0.065 39.845 6.013 0.078
12507 214.9868591 52.9446488 3.32181 39.021 3.091 0.109 110.214 256.965 3.147 0.079 3.32193 144.25 2.873 0.036 110.211 7.37 2.362 0.038 9.542 2.584 0.049
13980 215.2256288 53.028867 3.34831 68.978 8.181 0.1 118.43 240.736 8.892 0.109 3.34827 293.281 10.878 0.022 118.431 -9.0 -9.0 -9.0 40.31 9.68 0.013
16406 215.0325153 52.8975107 2.77199 10.586 2.388 0.0 125.938 104.823 2.369 0.019 2.77168 52.779 1.773 0.0 125.948 0.97 0.311 -0.031 7.792 1.428 -0.021
16551 215.1268573 52.9680831 2.57264 89.838 11.397 0.118 121.121 419.888 7.445 0.167 2.57242 204.428 4.633 0.12 121.129 4.064 0.84 0.118 32.828 7.069 0.135
16991 214.9414977 52.8505574 2.54117 63.43 4.675 0.244 137.197 627.571 4.529 0.301 2.54103 299.194 2.153 0.148 137.203 15.008 2.584 0.15 26.036 2.375 0.153
17056 215.0956225 52.9617521 2.73664 19.51 2.504 0.073 125.331 146.946 2.751 0.12 2.73626 134.663 4.837 0.117 125.344 5.114 -1.0 0.115 7.117 6.297 0.155
17186 215.1428364 52.9981411 2.11471 65.636 -1.0 0.681 186.102 72.92 14.749 0.916 2.11466 76.366 6.199 0.314 186.104 18.251 5.972 0.323 10.028 3.127 0.349
17264 215.2223431 53.0568435 2.02239 50.503 4.732 0.26 100.02 303.637 5.043 0.309 2.0219 0.001 0.0 0.113 100.036 0.001 0.0 0.111 0.034 -1.0 0.101
17425 214.986914 52.8953471 2.40409 54.328 -1.0 0.0 152.481 45.477 5.293 0.067 2.40429 29.569 2.667 0.018 152.472 4.466 0.997 0.01 6.789 1.508 0.011
17463 215.1358658 53.0018255 2.30336 23.312 6.2 0.125 128.913 133.766 6.281 0.127 2.30326 129.866 4.596 0.076 128.917 9.689 3.882 0.099 9.332 2.668 0.103
17496 214.9902697 52.8995161 2.37423 46.651 4.549 0.257 139.325 213.206 4.345 0.21 2.37409 121.84 2.727 0.063 139.331 7.606 2.191 0.061 26.236 3.323 0.066
18294 214.988628 52.9229215 2.63665 44.956 5.841 0.532 129.911 172.557 5.703 0.534 2.63674 211.954 3.477 0.418 129.908 21.134 4.167 0.417 33.872 5.214 0.408
19179 215.0497743 52.9919114 2.71438 37.468 9.519 0.62 145.665 80.551 8.863 0.616 2.71423 186.106 7.801 0.487 145.671 31.261 8.962 0.483 54.865 9.877 0.466
23542 215.1484165 52.9551591 1.27842 652.439 37.968 8.732 128.643 1545.734 35.388 8.598 1.27821 2982.561 36.267 6.0 128.655 480.884 32.883 6.116 619.558 51.527 5.94
26594 215.1211346 52.9843726 1.40751 57.497 4.631 0.948 103.504 151.181 5.175 1.116 1.40761 128.71 9.257 1.033 103.5 10.021 3.332 1.032 16.814 3.31 0.895
26836 214.9074844 52.8366454 2.01086 63.429 9.886 0.086 127.545 465.982 9.386 0.175 2.01094 163.175 5.112 0.161 127.542 5.395 -1.0 0.158 4.483 1.648 0.132
27063 215.2167235 53.0578549 1.59506 10.771 3.761 0.762 117.9 58.443 4.689 0.753 1.59482 70.488 5.945 0.381 117.911 11.867 3.727 0.361 6.518 1.646 0.282
27182 215.0494545 52.9419542 2.48971 35.612 2.391 0.1 141.802 168.098 2.784 0.045 2.48958 98.223 1.016 0.05 141.807 4.579 0.854 0.052 13.453 1.211 0.053
28886 214.9091161 52.8657833 1.67519 17.272 -1.0 0.551 89.793 39.37 4.49 0.561 1.6749 48.599 7.613 0.292 89.803 6.891 -1.0 0.291 26.599 6.196 0.165
29756 215.0664836 52.9886209 1.24048 9.943 4.503 0.579 102.884 34.302 3.037 0.633 1.24047 42.353 5.656 0.444 102.885 6.638 1.844 0.443 4.151 1.853 0.377
29775 214.9734594 52.9224645 1.06057 20.964 4.663 2.527 100.069 79.191 4.562 2.597 1.05375 0.0 0.0 2.238 100.402 0.0 0.0 2.233 -9.0 -9.0 -9.0
30715 215.0250634 52.9719759 1.89684 25.84 -1.0 0.093 123.914 31.491 3.269 0.08 1.89658 16.148 1.964 0.055 123.925 2.088 -1.0 0.052 2.03 -1.0 0.058
31075 215.0435549 52.9899173 1.28379 70.301 3.794 0.213 106.357 329.672 3.803 0.231 1.28368 229.195 5.112 0.378 106.362 3.857 1.121 0.34 18.605 5.296 0.207
36119 214.9309198 52.8257515 1.91238 25.903 6.412 0.791 119.124 141.076 11.602 0.657 1.91251 76.679 7.283 0.0 119.119 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
37597 215.0821113 52.9986764 1.41671 33.682 2.321 0.0 94.461 118.601 2.45 -0.006 1.41695 97.328 3.587 0.0 94.452 3.319 -1.0 -0.054 10.865 2.94 0.025
39481 214.9940615 53.0016763 1.63351 12.026 1.105 0.156 96.089 51.714 1.191 0.124 1.63335 31.937 2.039 0.107 96.095 1.806 0.579 0.106 4.24 1.043 0.091
40380 215.2186493 53.0329311 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 0.95779 57.136 5.267 0.452 127.576 5.549 -1.0 0.44 25.541 6.845 0.477
