# ID RA DEC Hb_z Hb_flux Hb_flux_err Hb_cont Hb_sigmaV OIII_5007_flux OIII_5007_flux_err OIII_5007_cont Ha_z Ha_flux Ha_flux_err Ha_cont Ha_sigmaV NII_6583_flux NII_6583_flux_err NII_6583_cont SII_flux SII_flux_err SII_cont SIII_9531_z SIII_9531_flux SIII_9531_flux_err SIII_9531_cont SIII_9531_sigmaV CI_9850_flux CI_9850_flux_err CI_9850_cont HeI_10830_z HeI_10830_flux HeI_10830_flux_err HeI_10830_cont HeI_10830_sigmaV PaG_flux PaG_flux_err PaG_cont PII_1188_flux PII_1188_flux_err PII_1188_cont FeII_1257_flux FeII_1257_flux_err FeII_1257_cont PaB_z PaB_flux PaB_flux_err PaB_cont PaB_sigmaV FeII_164_flux FeII_164_flux_err FeII_164_cont PaA_z PaA_flux PaA_flux_err PaA_cont PaA_sigmaV
4385 215.179599 53.0620667 3.42294 42.948 3.415 0.033 115.497 279.353 3.801 0.046 3.42303 164.551 5.638 0.149 115.494 11.785 2.455 0.164 13.64 3.653 0.198 3.42286 25.079 3.293 0.085 111.947 5.936 1.81 0.06 3.42355 31.845 4.575 0.091 115.481 14.579 2.146 0.087 12.037 -1.0 0.268 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
4386 215.0676151 52.9843298 2.37221 116.852 11.761 1.107 166.908 397.783 12.163 0.945 2.37197 368.24 5.919 0.416 166.921 32.022 4.893 0.379 -9.0 -9.0 -9.0 2.37236 70.768 3.458 0.303 191.898 3.495 -1.0 0.277 2.37217 53.926 2.141 0.267 166.91 13.359 0.139 0.259 20.218 3.783 0.033 5.935 1.788 0.214 2.37238 39.402 4.111 0.221 166.9 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
4402 215.0559956 53.004531 3.33086 91.561 6.709 0.48 131.236 411.551 6.778 0.492 3.33061 384.473 8.173 0.229 131.244 40.204 12.501 0.22 56.141 10.032 0.273 3.33047 82.911 5.315 0.186 131.248 7.697 -1.0 0.204 3.33052 91.536 6.212 0.166 131.246 25.696 2.256 0.194 14.238 -1.0 0.216 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
4680 215.2304288 53.0673957 1.90139 44.918 9.516 1.335 163.319 35.809 8.542 1.404 1.90105 309.839 10.112 1.61 163.338 158.504 9.789 1.605 83.844 10.709 1.644 1.90122 76.769 8.244 1.794 138.33 7.898 -1.0 1.805 1.90147 48.451 3.907 1.552 163.315 15.964 0.549 1.531 9.065 3.476 1.514 22.626 4.247 1.595 1.9009 67.41 4.201 1.598 163.347 27.357 10.238 1.473 -9.0 -9.0 -9.0 -9.0 -9.0
4768 215.2333809 53.0738011 1.58956 117.848 -1.0 13.679 83.926 30.383 -1.0 13.936 1.59038 23.394 -1.0 16.008 83.9 70.105 18.257 16.125 6.416 14.581 15.783 1.59012 13.641 -1.0 16.335 58.906 14.441 -1.0 16.804 1.59018 102.562 24.098 17.125 83.907 94.408 -1.0 17.321 14.821 -1.0 17.287 31.425 9.944 18.291 1.59124 40.492 9.461 18.23 83.872 29.244 -1.0 15.222 1.59132 178.625 43.781 10.876 108.861
5106 214.9095971 52.8802025 2.1443 18.536 -1.0 0.274 106.359 260.691 15.185 0.285 2.1443 131.217 9.941 0.299 132.225 10.716 -1.0 0.307 16.859 4.982 0.279 2.14461 32.595 8.248 0.089 157.21 14.4 -1.0 0.09 2.14279 13.629 -1.0 0.087 265.472 23.106 2.378 0.074 6.588 -1.0 0.128 21.959 9.665 0.04 2.14352 20.674 10.174 0.024 330.082 8.732 2.872 0.112 -9.0 -9.0 -9.0 -9.0 -9.0
5113 214.9692881 52.9275762 1.40202 61.931 9.002 1.039 109.208 203.761 7.92 1.088 1.40171 189.337 18.461 1.004 109.222 17.798 -1.0 1.015 55.286 13.32 0.83 1.40199 47.058 8.55 0.391 130.764 5.395 -1.0 0.344 1.40155 12.465 4.426 0.302 109.229 28.2 -1.0 0.301 9.36 -1.0 0.135 6.127 -1.0 0.117 1.40183 19.933 5.148 0.127 109.217 3.546 -1.0 0.175 1.4014 35.103 6.434 0.153 101.07
5117 215.0659987 52.9982025 1.5737 69.098 17.274 2.011 101.088 230.597 13.609 2.007 1.57355 364.661 24.586 0.937 101.094 27.897 10.966 0.934 21.941 -1.0 1.074 1.57405 35.595 7.04 0.839 106.639 6.928 -1.0 0.743 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 6.18 -1.0 0.559 9.129 -1.0 -0.165 1.57337 37.252 -1.0 0.0 101.101 8.871 -1.0 0.313 1.57327 57.061 13.931 0.114 126.108
5251 214.9527213 52.827931 3.10858 94.349 7.13 0.345 132.741 450.419 7.05 0.324 3.10838 491.314 8.687 0.0 132.747 14.769 2.723 -0.092 71.911 8.895 0.202 3.10844 101.774 6.261 0.231 157.745 6.03 -1.0 0.239 3.10787 87.834 6.803 0.226 132.764 32.116 0.637 0.181 10.693 -1.0 0.218 29.166 9.853 0.232 3.10956 50.56 -1.0 0.186 132.709 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
5300 214.9665098 52.8466679 2.13739 71.05 4.719 0.54 156.155 302.142 4.851 0.579 2.1371 230.949 5.311 0.306 156.169 6.262 -1.0 0.305 34.613 3.897 0.221 2.13728 31.733 2.543 0.161 137.743 2.856 -1.0 0.132 2.13723 19.077 1.45 0.136 156.163 8.036 0.125 0.118 1.941 -1.0 0.121 4.375 1.052 0.111 2.13691 13.854 2.359 0.109 156.179 9.498 -1.0 0.037 -9.0 -9.0 -9.0 -9.0 -9.0
